DATE,Interest_Rate,Inflation_rate
1/1/2000,3.41105112,1.76
2/1/2000,3.51334339,1.91
3/1/2000,3.44034736,1.87
4/1/2000,3.20296665,1.78
5/1/2000,3.3605311,1.66
6/1/2000,3.1278929,1.61
7/1/2000,3.06235485,1.87
8/1/2000,3.04561328,2.13
9/1/2000,2.88599618,2.08
10/1/2000,2.87662559,2.21
11/1/2000,2.83313793,2.34
12/1/2000,2.63921042,2.29
1/1/2001,2.25143294,2.26
2/1/2001,2.26701398,2.32
3/1/2001,2.26729473,2.36
4/1/2001,2.22098391,2.45
5/1/2001,2.43341797,2.63
6/1/2001,2.52645602,2.58
7/1/2001,2.52836744,2.48
8/1/2001,2.33436142,2.42
9/1/2001,2.17776797,2.33
10/1/2001,1.98693245,2.37
11/1/2001,1.81476553,2.51
12/1/2001,2.0405763,2.56
1/1/2002,2.52349996,2.5
2/1/2002,2.40007343,2.54
3/1/2002,2.42129018,2.71
4/1/2002,2.70112632,2.63
5/1/2002,2.35054993,2.49
6/1/2002,2.31986391,2.33
7/1/2002,2.14192855,2.3
8/1/2002,1.74226259,2.37
9/1/2002,1.44610825,2.5
10/1/2002,1.26869564,2.52
11/1/2002,1.39558681,2.48
12/1/2002,1.69225366,2.35
1/1/2003,1.48820174,2.41
2/1/2003,1.466379,2.52
3/1/2003,1.22359095,2.52
4/1/2003,1.30961847,2.58
5/1/2003,1.37072098,2.66
6/1/2003,0.90511574,2.58
7/1/2003,1.12868896,2.58
8/1/2003,1.75170446,2.59
9/1/2003,1.89723825,2.4
10/1/2003,1.38081936,2.32
11/1/2003,1.71390165,2.31
12/1/2003,1.71357266,2.31
1/1/2004,1.70195436,2.32
2/1/2004,1.57158074,2.36
3/1/2004,1.47016466,2.38
4/1/2004,1.35814941,2.43
5/1/2004,1.88324516,2.38
6/1/2004,1.94657611,2.41
7/1/2004,1.93379862,2.36
8/1/2004,1.85580269,2.23
9/1/2004,1.48469164,2.26
10/1/2004,1.6871063,2.33
11/1/2004,1.60768876,2.38
12/1/2004,1.90953662,2.31
1/1/2005,1.7792759,2.27
2/1/2005,1.81315912,2.33
3/1/2005,1.97934111,2.42
4/1/2005,2.02052684,2.32
5/1/2005,1.78986568,2.42
6/1/2005,1.66688811,2.47
7/1/2005,1.82002108,2.44
8/1/2005,2.00821677,2.21
9/1/2005,1.73569017,1.84
10/1/2005,1.96704484,1.06
11/1/2005,2.07568901,0.64
12/1/2005,2.01834727,0.25
1/1/2006,2.06484172,0.61
2/1/2006,2.20441278,1.12
3/1/2006,2.38362088,1.11
4/1/2006,2.35839303,1.36
5/1/2006,2.40637015,1.57
6/1/2006,2.45080986,1.86
7/1/2006,2.49634953,1.74
8/1/2006,2.2982861,1.82
9/1/2006,2.20605719,1.76
10/1/2006,2.21206207,1.91
11/1/2006,2.1998854,2.12
12/1/2006,2.12213778,2.23
1/1/2007,2.14807579,2.36
2/1/2007,2.28715091,2.27
3/1/2007,2.0249864,2.22
4/1/2007,2.07748685,2.35
5/1/2007,2.0318442,2.11
6/1/2007,2.24630973,1.94
7/1/2007,2.37357342,1.77
8/1/2007,2.13388077,1.68
9/1/2007,1.94622258,1.74
10/1/2007,1.98911422,2.01
11/1/2007,1.82624712,2.09
12/1/2007,1.38696881,2.25
1/1/2008,1.39949068,2.33
2/1/2008,1.11112286,2.34
3/1/2008,1.02522008,2.45
4/1/2008,1.06289422,2.6
5/1/2008,1.40051629,2.39
6/1/2008,1.48755401,2.24
7/1/2008,1.44558109,2.38
8/1/2008,1.35649733,2.16
9/1/2008,1.23957472,1.9
10/1/2008,1.48506331,1.96
11/1/2008,1.63162854,2.01
12/1/2008,0.97537985,2.01
1/1/2009,0.93854104,2.08
2/1/2009,1.03930649,2.22
3/1/2009,1.25074177,2.31
4/1/2009,0.71281967,2.26
5/1/2009,1.0174109,2.14
6/1/2009,1.32210554,2.12
7/1/2009,1.26690282,2.13
8/1/2009,1.15904037,2.27
9/1/2009,0.94923764,2.43
10/1/2009,0.99714116,2.5
11/1/2009,1.06141004,2.42
12/1/2009,0.84804056,2.48
1/1/2010,1.29792486,2.52
2/1/2010,1.12451541,2.55
3/1/2010,0.99873153,2.55
4/1/2010,1.3091053,2.41
5/1/2010,1.22638786,2.29
6/1/2010,1.01936098,2.05
7/1/2010,0.84675907,2.12
8/1/2010,0.65616389,2.19
9/1/2010,0.57706775,2.15
10/1/2010,0.40880525,2.19
11/1/2010,0.33888956,2.17
12/1/2010,0.62620927,2.16
1/1/2011,0.86397716,2.23
2/1/2011,0.82968718,2.16
3/1/2011,0.87385088,2.16
4/1/2011,0.97750283,2.17
5/1/2011,0.71147484,2.19
6/1/2011,0.49226699,2.23
7/1/2011,0.57395235,2.26
8/1/2011,0.39497491,2.2
9/1/2011,0.21493888,2.07
10/1/2011,0.09856249,1.92
11/1/2011,0.13706953,1.88
12/1/2011,0.14446831,1.7
1/1/2012,0.14610051,1.61
2/1/2012,0.02185103,1.72
3/1/2012,0.16923691,1.74
4/1/2012,0.19464573,1.83
5/1/2012,-0.08722198,1.87
6/1/2012,-0.04815105,1.86
7/1/2012,-0.05482603,1.42
8/1/2012,-0.06008478,1.61
9/1/2012,-0.16925714,1.52
10/1/2012,-0.09317224,1.5
11/1/2012,-0.00573705,1.57
12/1/2012,-0.17237745,1.51
1/1/2013,0.08440142,1.42
2/1/2013,0.17210018,1.31
3/1/2013,0.05034072,1.55
4/1/2013,-0.02421188,1.62
5/1/2013,-0.01939123,1.7
6/1/2013,0.22769375,1.47
7/1/2013,0.54638104,1.46
8/1/2013,0.47506869,1.47
9/1/2013,0.54083451,1.51
10/1/2013,0.49296942,1.66
11/1/2013,0.48963774,1.82
12/1/2013,0.41829993,1.93
1/1/2014,0.68063671,2.01
2/1/2014,0.50867731,2.02
3/1/2014,0.58045318,1.99
4/1/2014,0.7022221,1.91
5/1/2014,0.62685415,1.83
6/1/2014,0.62452944,1.73
7/1/2014,0.59099495,1.77
8/1/2014,0.6494057,1.78
9/1/2014,0.58085993,1.83
10/1/2014,0.7009647,1.86
11/1/2014,0.71330026,1.85
12/1/2014,0.38472537,1.9
1/1/2015,0.7099428,2.04
2/1/2015,0.53838038,2.4
3/1/2015,0.75170542,2.09
4/1/2015,0.41032252,2.13
5/1/2015,0.53392144,2.14
6/1/2015,0.5537778,2.12
7/1/2015,0.6670749,2.12
8/1/2015,0.54830556,2.6
9/1/2015,0.51245991,2.12
10/1/2015,0.52877171,2.11
11/1/2015,0.6662057,2.01
12/1/2015,0.64742223,1.81
1/1/2016,0.73450597,1.79
2/1/2016,0.538738,1.88
3/1/2016,0.55140742,1.91
4/1/2016,0.34527268,1.94
5/1/2016,0.41364983,1.83
6/1/2016,0.51909852,1.9
7/1/2016,0.16534694,1.75
8/1/2016,0.22683746,1.59
9/1/2016,0.2160743,1.59
10/1/2016,0.28979681,1.56
11/1/2016,0.34660933,1.64
12/1/2016,0.70045658,1.72
